instance_id,trial_id,provider,tag,resolved,finished,eval_completed,trajectory_valid,wall_seconds,error,agent_s,model_api_s,gateway_client_s,tools_s,tool_setup_s,agent_other_s,unclamped_residual_s,provision_s,verifier_s,export_s,cleanup_s,generated_tokens,prompt_tokens_sum,model_calls,tool_calls,codec_s,tool_fraction,model_fraction,verifier_body_s,verifier_client_s,verifier_dispatch_remainder_s,server_completed_requests,server_metric_boundary_matches,server_queue_s,server_prefill_s,server_decode_s,server_inference_s,cached_prefill_tokens,computed_prefill_tokens,prefix_cache_queried_tokens,prefix_cache_hit_tokens,prefix_cache_hit_fraction,gpu_samples,gpu_busy_mean,gpu_busy_during_model,gpu_busy_during_tools,gpu_near_idle_sample_fraction
astropy__astropy-13033,astropy__astropy-13033,docker,main-optimized,False,True,True,True,169.39658383466303,,124.807262139,100.425730521,3.0753059410000105,20.976840906000003,0.273655164,0.05572960699998308,0.05572960699998308,2.087135753,41.650814649,0.043189806,0.589253401,16148,1145369,51,52,2.8204881699999986,0.16807388085028044,0.804646530977934,41.52068901062012,41.57357372,0.052884709379881656,51.0,True,0.0011057117953896523,7.989259195979685,90.07390473177657,98.06316392775625,1114400.0,30969.0,1145369.0,1114400.0,0.9729615521286153,125,76.144,90.81372549019608,12.75,0.12
django__django-14373,django__django-14373,docker,main-optimized,True,True,True,True,42.72291327826679,,36.305199763,27.863768962999995,0.2763719590000129,7.872751577,0.271052703,0.021254560999989958,0.021254560999989958,2.416954863,3.105234729,0.015469285,0.6403789550000001,4649,284437,24,25,0.18895693600000005,0.21684914635901326,0.7674870030985759,2.990683078765869,3.034569538,0.043886459234130815,24.0,True,0.0005379626527428627,1.7987822038121521,25.05936742341146,26.85814962722361,273104.0,11333.0,284437.0,273104.0,0.9601563790927341,36,76.5,92.21428571428571,21.5,0.08333333333333333
matplotlib__matplotlib-20488,matplotlib__matplotlib-20488,docker,main-optimized,True,True,True,True,232.51997114997357,,217.904783735,178.20195334099992,1.7278160010000931,37.615057051000015,0.273285426,0.08667191599996577,0.08667191599996577,2.933263773,10.830347932,0.055655408,0.595256667,25713,3525872,82,83,1.0550725730000001,0.17262152948759824,0.8177973438055229,10.708747863769531,10.757755437,0.04900757323046889,82.0,True,0.0018752934411168098,17.168195622507483,155.6182981398888,172.78649376239628,3478880.0,46992.0,3525872.0,3478880.0,0.9866722331383556,217,78.86635944700461,91.93333333333334,15.297297297297296,0.10599078341013825
mwaskom__seaborn-3187,mwaskom__seaborn-3187,docker,main-optimized,False,True,True,True,239.18742819409817,,208.06454781,167.43199197099997,1.1050895889999879,39.196232749,0.270540684,0.060692817000028265,0.060692817000028265,1.716075343,28.535701,0.052010827,0.627263083,26851,1765774,65,66,0.736339462,0.1883849659231382,0.8047117768659715,28.41764998435974,28.463847968,0.0461979836402584,65.0,True,0.0013254182413220406,10.205407087691128,153.8709179549478,164.07632504263893,1732992.0,32782.0,1765774.0,1732992.0,0.9814347702480611,208,78.9423076923077,94.37869822485207,10.166666666666666,0.1201923076923077
pallets__flask-5014,pallets__flask-5014,docker,main-optimized,True,True,True,True,48.503818375989795,,43.685819267,33.916850886999995,0.33663026700000387,9.140707392000001,0.265514208,0.026116512999998898,0.026116512999998898,1.7045041319999998,2.380685442,0.022308686,0.5192178540000001,5382,500497,29,30,0.224324646,0.20923740347259176,0.7763812481049331,2.266279935836792,2.309802478,0.043522542163207945,29.0,True,0.0005144909955561161,3.092037606984377,29.576866194605827,32.668903801590204,481200.0,19297.0,500497.0,481200.0,0.9614443243416044,43,76,89.87878787878788,30.2,0.023255813953488372
psf__requests-1921,psf__requests-1921,docker,main-optimized,True,True,True,True,207.45246099494398,,146.29145063,41.969606618000014,0.401912715999984,103.614857741,0.273087999,0.031985556000021176,0.031985556000021176,1.62052882,58.808730395,0.010074665,0.535856821,6836,553042,34,35,0.272978802,0.7082769177199729,0.2868903578251435,58.68483090400696,58.730842988,0.04601208399304113,34.0,True,0.0006300383247435093,3.2386115859262645,37.30886999843642,40.547481584362686,534368.0,18674.0,553042.0,534368.0,0.966234029241902,146,28.904109589041095,89.86046511627907,2.702970297029703,0.6712328767123288
pydata__xarray-4075,pydata__xarray-4075,docker,main-optimized,True,True,True,True,74.69422878604382,,66.356361492,38.831380545,0.38694023600000094,26.838548430999996,0.26150483,0.03798745000000614,0.03798745000000614,1.652392147,5.930068225,0.045251245,0.512065136,5106,911298,30,31,0.2518294360000001,0.404460820749427,0.5851945415916386,5.81463098526001,5.859490631,0.04485964573999013,30.0,True,0.000590191688388586,7.651847386267036,29.67273386148736,37.324581247754395,855120.0,56178.0,911298.0,855120.0,0.9383538644877966,66,54.833333333333336,85.52631578947368,13.178571428571429,0.3484848484848485
pylint-dev__pylint-7080,pylint-dev__pylint-7080,docker,main-optimized,False,False,True,True,270.8144587650895,,254.643624105,218.508988223,1.89186106599999,33.875117239000005,0.267850966,0.09980661100000277,0.09980661100000277,1.8861061700000001,13.458647478,0.059375014,0.565562224,29673,4907668,100,101,0.985327539,0.13302951274771327,0.8580972289842207,13.341921091079712,13.387217153,0.04529606192028801,100.0,True,0.00182447861880064,23.90784018440172,187.7666394333355,211.67447961773723,4853232.0,54436.0,4907668.0,4853232.0,0.9889079701397894,255,83.3843137254902,94.19354838709677,20.444444444444443,0.047058823529411764
pytest-dev__pytest-7521,pytest-dev__pytest-7521,docker,main-optimized,True,True,True,True,185.0932450830005,,175.990536279,150.11911158100003,1.2944998929999656,24.223114924000008,0.274764545,0.07904533599999652,0.07904533599999652,1.666221417,6.631986678,0.05160857,0.559746215,23187,2416854,80,81,0.7401310959999998,0.13763873578746758,0.8529953641542084,6.507809162139893,6.554606339,0.04679717686010765,80.0,True,0.001422019675374031,12.061835412401706,133.5041069961153,145.565942408517,2386304.0,30550.0,2416854.0,2386304.0,0.9873596005385513,175,83.50857142857143,95.64383561643835,23.653846153846153,0.05142857142857143
scikit-learn__scikit-learn-11310,scikit-learn__scikit-learn-11310,docker,main-optimized,True,True,True,True,85.64105309639126,,79.079204901,58.603037875,0.719485020999997,19.446489210999996,0.265456533,0.044736261000005995,0.044736261000005995,1.7738230339999999,3.968312702,0.033975701,0.584038308,8875,1187944,50,51,0.45154350000000004,0.2459115419198415,0.7410676163014751,3.863313913345337,3.905091229,0.04177731565466303,50.0,True,0.0008995421230792999,6.317704915069044,49.90169761935249,56.21940253442153,1158000.0,29944.0,1187944.0,1158000.0,0.9747934246058737,79,71.54430379746836,90.89473684210526,20.38095238095238,0.13924050632911392
sphinx-doc__sphinx-9367,sphinx-doc__sphinx-9367,docker,main-optimized,True,True,True,True,45.61135753104463,,41.153857035,33.942739515999996,0.27198779200000445,6.635362887999999,0.279327376,0.024439463000002326,0.024439463000002326,1.859798637,1.718698535,0.019559563,0.646320824,5705,338432,27,28,0.1862865,0.16123307427434666,0.8247766299798537,1.5967938899993896,1.645063051,0.048269161000610294,27.0,True,0.00047803064808249474,2.129241314716637,30.819061786867678,32.948303101584315,325136.0,13296.0,338432.0,325136.0,0.9607129349470499,41,79.97560975609755,92.0909090909091,21.714285714285715,0.04878048780487805
sympy__sympy-24213,sympy__sympy-24213,docker,main-optimized,True,True,True,True,77.85954608302563,,71.27284832,55.47398204800002,0.5936905369999863,14.903976428000005,0.261049525,0.04014978199998498,0.04014978199998498,2.343452559,3.408526507,0.031978062,0.592320249,8500,1043691,43,44,0.353297412,0.20911155902012374,0.778332609901229,3.2973830699920654,3.339292702,0.041909632007934405,43.0,True,0.0007523945532739162,5.691933655645698,47.713991998229176,53.405925653874874,1017632.0,26059.0,1043691.0,1017632.0,0.9750318820417154,72,73.69444444444444,91.74074074074075,21.0625,0.06944444444444445
astropy__astropy-13033,astropy__astropy-13033,e2b,main-optimized,False,True,True,True,314.8443651236594,,245.516689738,123.35130821299998,1.5730083540000095,118.622318362,1.883399715,0.08665509400000415,0.08665509400000415,11.600558567,55.6100947,0.044715883,0.6701415930000001,19405,1802251,76,77,0.905306405,0.48315378676938947,0.502415165114163,55.02174186706543,55.402122419,0.38038055193457154,76.0,True,0.0017179865390062332,9.65972851542756,108.96351871266961,118.62324722809717,1775856.0,26395.0,1802251.0,1775856.0,0.9853544262147725,245,48.17142857142857,90.73015873015873,3.217391304347826,0.44081632653061226
django__django-14373,django__django-14373,e2b,main-optimized,True,True,True,True,79.47921348363161,,62.245614406,26.91748074,0.3697715919999993,33.005384868,1.924724018,0.02825318800000698,0.02825318800000698,11.986036491,3.39069871,0.016202315,0.6241684279999999,4382,286828,24,25,0.263468054,0.5302443422394515,0.4324397951063579,2.743590831756592,3.176791436,0.433200604243408,24.0,True,0.0005461000837385654,2.0097917038947344,23.601849301252514,25.61164100514725,273952.0,12876.0,286828.0,273952.0,0.9551089851757848,62,39.806451612903224,84,3.53125,0.5483870967741935
matplotlib__matplotlib-20488,matplotlib__matplotlib-20488,e2b,main-optimized,True,True,True,True,214.10174111882225,,187.814719319,86.22179667,1.1318495669999749,98.39758234099999,1.9939332159999998,0.0695575250000382,0.0695575250000382,13.866563131,10.037694802,0.037977284,0.8749116290000001,13462,1286306,58,59,0.6628261990000001,0.5239077251121805,0.45907901671728824,9.518425941467285,9.825989907,0.30756396553271514,58.0,True,0.0013209874741733074,6.753911999519914,75.94110667565838,82.69501867517829,1261648.0,24658.0,1286306.0,1261648.0,0.9808303778416644,187,43.68983957219251,89.73809523809524,6.196078431372549,0.46524064171123
