provider,instance_id,tool,elapsed_s,status,sdk_exec_calls,file_reads,file_writes,docker_cli_calls,httpx_sends
docker,astropy__astropy-13033,shell,0.247102543,ok,0,0,1,6,0
docker,astropy__astropy-13033,shell,0.255478767,ok,0,0,1,6,0
docker,astropy__astropy-13033,shell,0.247610564,ok,0,0,1,6,0
docker,astropy__astropy-13033,shell,0.251104446,ok,0,0,1,6,0
docker,astropy__astropy-13033,str_replace_editor,0.171959196,ok,0,0,0,4,0
docker,astropy__astropy-13033,str_replace_editor,0.177331287,ok,0,1,0,4,0
docker,astropy__astropy-13033,str_replace_editor,0.177102187,ok,0,1,0,4,0
docker,astropy__astropy-13033,str_replace_editor,0.169169775,ok,0,0,1,4,0
docker,astropy__astropy-13033,shell,0.694948654,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.175117647,ok,0,1,0,4,0
docker,astropy__astropy-13033,str_replace_editor,0.180923978,ok,0,1,0,4,0
docker,astropy__astropy-13033,str_replace_editor,0.211778471,ok,0,1,1,5,0
docker,astropy__astropy-13033,shell,0.496653049,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.170050185,ok,0,0,1,4,0
docker,astropy__astropy-13033,shell,0.482343434,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.179244878,ok,0,1,0,4,0
docker,astropy__astropy-13033,str_replace_editor,0.212107531,ok,0,1,1,5,0
docker,astropy__astropy-13033,str_replace_editor,0.214494032,ok,0,1,1,5,0
docker,astropy__astropy-13033,shell,0.501036352,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.467069078,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.167497234,ok,0,0,1,4,0
docker,astropy__astropy-13033,shell,0.502579842,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,1.35461304,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.217444644,ok,0,1,1,5,0
docker,astropy__astropy-13033,str_replace_editor,0.169290045,ok,0,0,1,4,0
docker,astropy__astropy-13033,shell,0.480981845,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.172563507,ok,0,0,1,4,0
docker,astropy__astropy-13033,shell,0.504190914,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.17907409,ok,0,1,0,4,0
docker,astropy__astropy-13033,str_replace_editor,0.215531763,ok,0,1,1,5,0
docker,astropy__astropy-13033,shell,0.461943118,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.83092835,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.166707154,ok,0,0,1,4,0
docker,astropy__astropy-13033,shell,0.488122009,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.252449478,ok,0,0,1,6,0
docker,astropy__astropy-13033,str_replace_editor,0.176872359,ok,0,1,0,4,0
docker,astropy__astropy-13033,shell,0.474025833,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.214357543,ok,0,1,1,5,0
docker,astropy__astropy-13033,shell,0.499044323,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.833064424,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.904789601,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.930554581,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.809307475,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.820145419,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.815323026,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.171198037,ok,0,0,1,4,0
docker,astropy__astropy-13033,shell,0.471441544,ok,0,0,1,8,0
docker,astropy__astropy-13033,str_replace_editor,0.216877515,ok,0,1,1,5,0
docker,astropy__astropy-13033,shell,0.495353443,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.467041102,ok,0,0,1,8,0
docker,astropy__astropy-13033,shell,0.830392054,ok,0,0,1,8,0
docker,astropy__astropy-13033,submit,0.00050954,ok,0,0,0,0,0
