agent,instance_id,repo,resolved,source_only_resolved,finished,eval_completed,existing_tests_modified,agent_seconds,error,result_path
ReAct,astropy__astropy-13033,astropy/astropy,False,False,True,True,,315.4633889198303,,results/regraded-main-react/astropy__astropy-13033/result.json
ReAct,django__django-14373,django/django,True,True,True,True,,204.96709847450256,,results/regraded-main-react/django__django-14373/result.json
ReAct,matplotlib__matplotlib-20488,matplotlib/matplotlib,True,True,True,True,,998.7956256866455,,results/regraded-main-react/matplotlib__matplotlib-20488/result.json
ReAct,mwaskom__seaborn-3187,mwaskom/seaborn,False,False,True,True,,774.4034042358398,,results/regraded-main-react/mwaskom__seaborn-3187/result.json
ReAct,pallets__flask-5014,pallets/flask,True,True,True,True,,268.5327868461609,,results/regraded-main-react/pallets__flask-5014/result.json
ReAct,pydata__xarray-4075,pydata/xarray,True,True,True,True,,232.6685667037964,,results/regraded-main-react/pydata__xarray-4075/result.json
ReAct,pylint-dev__pylint-7080,pylint-dev/pylint,True,True,True,True,,912.8550033569336,,results/regraded-main-react/pylint-dev__pylint-7080/result.json
ReAct,pytest-dev__pytest-7521,pytest-dev/pytest,True,True,False,True,,906.9787628650665,,results/regraded-main-react/pytest-dev__pytest-7521/result.json
ReAct,scikit-learn__scikit-learn-11310,scikit-learn/scikit-learn,True,True,True,True,,254.4912269115448,,results/regraded-main-react/scikit-learn__scikit-learn-11310/result.json
ReAct,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,True,True,True,True,,212.6408326625824,,results/regraded-main-react/sphinx-doc__sphinx-9367/result.json
ReAct,sympy__sympy-24213,sympy/sympy,True,True,True,True,,530.0730521678925,,results/regraded-main-react/sympy__sympy-24213/result.json
ReAct,astropy__astropy-14539,astropy/astropy,True,True,True,True,,289.2291269302368,,results/regraded-main-react/astropy__astropy-14539/result.json
ReAct,django__django-11451,django/django,True,True,True,True,,473.1720597743988,,results/regraded-main-react/django__django-11451/result.json
ReAct,matplotlib__matplotlib-20859,matplotlib/matplotlib,True,True,True,True,,243.73972034454346,,results/regraded-main-react/matplotlib__matplotlib-20859/result.json
